state,department_name,address,phone,site
Alabama,Cleburne County Sheriff's Department,"140 Lambert Drive Heflin, AL 36264",256-463-2277,NA
Alabama,Cleveland Police Department,,205-274-9640,NA
Alabama,Clio Police Department,"3311 Elamville Street Clio, AL 36017",334-397-4402,NA
Alabama,Coffee County Sheriff's Department,"4 County Complex New Brockton, AL 36351",334-894-5535,NA
Alabama,Colbert County Sheriff's Office,"201 N Main Street Tuscumbia, AL 35674",256-383-0741,NA
Alabama,Collinsville Police Department,"39 Post Office Street Collinsville, AL 35961",256-524-2136,NA
Alabama,Columbia Police Department,"202 S Main Street Columbia, AL 36319",334-696-4417,NA
Alabama,Columbiana Police Department,"107 Mildred Street Columbiana, AL 35051",205-669-5800,NA
Alabama,Conecuh County Sheriff's Department,"104 Liberty Street Evergreen, AL 36401",251-578-1260,NA
Alabama,Coosa County Sheriff's Department,,256-377-4922,NA
Alabama,Cordova Police Department,"74 Main Street Cordova, AL 35550",205-483-7378,NA
Alabama,Cottonwood Police Department,"1414 Metcalf Street Cottonwood, AL 36320",334-691-2113,NA
Alabama,Courtland Police Department,"271 Alabama Street Courtland, AL 35618",256-637-2701,NA
Alabama,Covington County Sheriff's Department,"290 Hillcrest Drive Andalusia, AL 36420",334-428-2640,www.covingtonso.com
Alabama,Crenshaw County Sheriff's Department,,334-335-6568,NA
Alabama,Creola Police Department,"190 Dead Lake Road Creola, AL 36525",251-675-8145,NA
Alabama,Crossville Police Department,"1452 Alabama Highway Crossville, AL 35962",256-528-7831,www.crossvillealabama.com
Alabama,Cuba Police Department,,205-392-2021,NA
Alabama,Cullman County Sheriff's Department,"1910 Beech Avenue SE Cullman, AL 35055",256-737-9868,NA
Alabama,Cullman Police Department,"209 3rd Avenue NE Cullman, AL 35055",256-734-1434,NA
Alabama,Dadeville Police Department,"192 S Broadnax Dadeville, AL 36853",256-825-6212,www.dadevillepd.org
Alabama,Dale County Sheriff's Department,"100 E Court Sq Ozark, AL 36361",334-774-2335,NA
Alabama,Daleville Police Department,,334-598-4442,NA
Alabama,Dallas County Sheriff's Department,"102 Church Street Selma, AL 36702",334-874-2585,www.dallascounty-al.org
Alabama,Daphne Police Department,"1502 US Highway 98 Daphne, AL 36526",251-621-9100,www.daphnepolice.org
Alabama,Dauphin Island Police Department,"1015 Desoto Avenue Dauphin Island, AL 36528",251-861-5523,NA
Alabama,Daviston Police Department,,256-395-2260,NA
Alabama,Decatur Police Department,"402 Lee Street NE Decatur, AL 35602",256-341-4600,decaturalabamausa.com
Alabama,Dekalb County Sheriff's Office,"2801 Jordan Road Fort Payne, AL 35968",256-845-3801,www.dekalbcountysheriff.org
Alabama,Demopolis Police Department,"301 E Washington Street Demopolis, AL 36732",334-289-3073,NA
Alabama,Dora Police Department,"1485 Sharon Boulevard Dora, AL 35062",205-648-3399,NA
Alabama,Dothan Police Department,"210 N Saint Andrews Street Dothan, AL 36303",334-615-3000,www.dothanpolice.org
Alabama,Double Springs Police Department,"21 Main Street Double Springs, AL 35553",205-489-5115,NA
Alabama,Douglas Police Department,"55 Highway 168 Douglas, AL 35964",256-593-9531,NA
Alabama,Dozier Police Department,,334-496-3742,NA
Alabama,East Brewton Police Department,"615 Forrest Avenue East Brewton, AL 36426",251-867-4864,NA
Alabama,Eclectic Police Department,"50 Main Street Eclectic, AL 36024",334-541-2148,NA
Alabama,Elba Police Department,"200 Buford Street Elba, AL 36323",334-897-2555,NA
Alabama,Elberta Police Department,,251-986-5300,NA
Alabama,Elkmont Police Department,"18890 Upper Ft Hampton Road Elkmont, AL 35620",256-732-4211,NA
Alabama,Elmore County Sheriff's Department,"8955 US Highway 231 Wetumpka, AL 36092",334-514-5801,NA
Alabama,Enterprise Police Department,,334-347-2222,www.enterprisepd.com
Alabama,Epes Police Department,"26266 Drive Martin Luther King Highway Epes, AL 35460",205-652-2223,NA
Alabama,Escambia County Sheriff's Department,"316 Court Street Brewton, AL 36426",334-809-0741,NA
Alabama,Etowah County Sheriff's Office,"827 Forrest Avenue Gadsden, AL 35901",256-546-2825,www.etowahcountysheriff.com
Alabama,Eufaula Police Department,"545 E Barbour Street Eufaula, AL 36027",334-687-1200,www.eufaulapd.com
Alabama,Eutaw Police Department,"116 Main Street Eutaw, AL 35462",205-372-4334,NA
Alabama,Evergreen Police Department,"355 E Front Street Evergreen, AL 36401",251-578-1111,NA
Alabama,Fairfield Police Department,"5231 Court B Fairfield, AL 35064",205-783-6024,NA
Alabama,Fairhope Police Department,"107 N Section Street Fairhope, AL 36532",251-928-2385,NA
Alabama,Falkville Police Department,"21 W 1st Street Falkville, AL 35622",256-784-5237,NA
Alabama,Fayette County Sheriff's Department,"113 1st Avenue W Fayette, AL 35555",205-932-3205,NA
Alabama,Fayette Police Department,"118 1st Avenue NE Fayette, AL 35555",205-932-5312,NA
Alabama,Flomaton Police Department,"2125 Ringold Street Flomaton, AL 36441",251-296-5811,NA
Alabama,Florala Police Department,"22654 Wall Avenue Florala, AL 36442",334-858-3244,NA
Alabama,Florence Police Department,"110 W College Street Florence, AL 35630",256-760-6300,www.florenceal.org
Alabama,Foley Police Department,"200 East Section Avenue Foley, AL 36535",334-943-4431,www.cityoffoley.org
Alabama,Forkland Police Department,"Highway 43 Forkland, AL 36740",334-289-4063,NA
Alabama,Fort Deposit Police Department,"260 Old Fort Road E Fort Deposit, AL 36032",334-227-4331,NA
Alabama,Fort Payne Police Department,"200 Gault Avenue S Fort Payne, AL 35967",256-845-1414,www.fortpayne.org
Alabama,Franklin County Sheriff's Department,,256-332-8811,NA
Alabama,Frisco Police Department,"4165 Bowden Street Frisco City, AL 36445",251-267-3113,NA
Alabama,Fulton Police Department,"137 Adams Avenue Thomasville, AL 36784",334-636-2174,NA
Alabama,Fultondale Police Department,"1210 Walker Chapel Road Fultondale, AL 35068",205-849-5456,NA
Alabama,Fyffe Police Department,,256-623-2222,www.fyffecitylimits.com
Alabama,Gadsden Police Department,"90 Broad Street Gadsden, AL 35904",256-549-4500,www.gadsdenpd.org
Alabama,Gardendale Police Department,"970 Main Street Gardendale, AL 35071",205-631-8787,NA
Alabama,Geneva County Sheriff's Department,"101 Commerce Street Geneva, AL 36340",334-654-5660,NA
Alabama,Geneva Police Department,"517 S Commerce Street Geneva, AL 36340",334-684-2777,NA
Alabama,Georgiana Police Department,"400 W Railroad Avenue N Georgiana, AL 36033",334-376-2222,NA
Alabama,Geraldine Police Department,,256-659-2122,NA
Alabama,Gilbertown Police Department,,251-843-2766,NA
Alabama,Glencoe Police Department,"201 Chastain Boulevard W Glencoe, AL 35905",256-492-1424,NA
Alabama,Goodwater Police Department,"51 S Main Street Goodwater, AL 35072",256-839-6321,NA
Alabama,Gordo Police Department,,205-364-7111,NA
Alabama,Gordon Police Department,"692 Tifton Road Gordon, AL 36343",334-522-1305,NA
Alabama,Grant Police Department,"4766 Main Street Grant, AL 35747",256-728-4233,NA
Alabama,Graysville Police Department,"246 S Main Street Graysville, AL 35073",205-674-5643,NA
Alabama,Greene County Sheriff's Department,,205-372-3242,NA
Alabama,Greensboro Police Department,"1101 Main Street Greensboro, AL 36744",334-624-3902,NA
Alabama,Greenville Police Department,"119 E Commerce Street Greenville, AL 36037",334-382-7461,www.greenville-alabama.com
Alabama,Grove Hill Police Department,,251-275-3112,NA
Alabama,Guin Police Department,,205-468-3363,NA
Alabama,Gulf Shores Police Department,"220 Clubhouse Drive Gulf Shores, AL 36542",251-968-2431,www.gulfshoresal.gov
Alabama,Guntersville Police Department,"340 Blount Avenue Guntersville, AL 35976",256-571-7571,www.guntersvilleal.org
Alabama,Gurley Police Department,,256-776-3313,NA
Alabama,Hackleburg Police Department,"314 1st Avenue Hackleburg, AL 35564",205-935-5195,NA
Alabama,Hale County Sheriff's Department,,334-624-3081,NA
Alabama,Haleyville Police Department,"1901 11th Avenue Haleyville, AL 35565",205-486-5201,NA
Alabama,Hamilton Police Department,"427 James Crump Memorial Drive Hamilton, AL 35570",205-921-7424,NA
Alabama,Hammondville Police Department,"37669 US Highway 11 Valley Head, AL 35989",256-635-6374,NA
Alabama,Hanceville Police Department,"203 Bangor Avenue SE Hanceville, AL 35077",256-352-9811,NA
Alabama,Harpersville Police Department,"83 Town Hall Ln Harpersville, AL 35078",205-672-2490,NA
Alabama,Hartford Police Department,"114 S 4th Avenue Hartford, AL 36344",334-588-2222,NA
Alabama,Hartselle Police Department,"150 Chestnut Street NW Hartselle, AL 35640",256-773-6534,www.hartselle.org
Alabama,Hayneville Police Department,"1 Mosses Park Cir Hayneville, AL 36040",334-548-2128,NA
Alabama,Headland Police Department,"9 Park Street Headland, AL 36345",334-693-3383,NA
Alabama,Heflin Police Department,"405 Ross Street Heflin, AL 36264",256-463-2292,www.cityofheflin.org
Alabama,Helena Police Department,,205-663-6499,www.cityofhelena.org
Alabama,Henager Police Department,,256-657-3230,NA
Alabama,Henry County Sheriff's Department,"101 W Court Sq Abbeville, AL 36310",334-585-3131,NA
Alabama,Hillsboro Police Department,"11355 Main Street Hillsboro, AL 35643",256-637-2070,NA
Alabama,Hobson City Police Department,"600 Martin Luther King Drive Hobson City, AL 36201",256-831-0445,NA
Alabama,Hokes Bluff Police Department,"3301 Alford Bend Road Hokes Bluff, AL 35903",256-492-2414,NA
Alabama,Hollywood Police Department,"29164 US Highway 72 Hollywood, AL 35752",256-259-1295,NA
Alabama,Homewood Police Department,"1833 29th Avenue S Homewood, AL 35209",205-332-6204,www.homewoodpd.org
Alabama,Hoover Police Department,"100 Municipal Drive Hoover, AL 35216",205-444-7700,NA
Alabama,Houston County Sheriff's Department,"144 N Oates Street Dothan, AL 36303",334-677-4882,NA
Alabama,Hueytown Police Department,"1318 Hueytown Road Hueytown, AL 35023",205-491-3523,NA
Alabama,Huntsville Police Department,"815 Wheeler Avenue Huntsville, AL 35801",256-722-7100,www.hsvpolice.com
Alabama,Hurtsboro Police Department,"511 Railroad Street Hurtsboro, AL 36860",334-667-0701,NA
Alabama,Ider Police Department,,256-657-5717,NA
Alabama,Irondale Police Department,"101 S 20th Street Irondale, AL 35210",205-956-5990,NA
Alabama,Jackson County Sheriff's Department,"102 E Laurel Scottsboro, AL 35768",256-574-2610,NA
Alabama,Jackson Police Department,"350 Commerce Street Jackson, AL 36545",251-246-4484,NA
Alabama,Jacksons Gap Police Department,,256-825-8518,NA
Alabama,Jacksonville Police Department,"116 Ladiga Street SE Jacksonville, AL 36265",256-435-6448,www.jacksonvillepd.us
Alabama,Jacksonville State University Police Department,"700 Pelham Road N Jacksonville, AL 36265",256-782-5050,police.jsu.edu
Alabama,Jasper Police Department,"1610 Alabama Avenue Jasper, AL 35501",205-221-2121,NA
Alabama,Jefferson County Sheriff's Office,"2200 8th Avenue N Birmingham, AL 35203",205-325-5700,www.jeffcosheriff.org
Alabama,Jemison Police Department,"24747 US Highway 31 Jemison, AL 35085",205-688-4491,NA
Alabama,Kennedy Police Department,,205-596-3670,NA
Alabama,Killen Police Department,"225 J C Mauldin Highway Killen, AL 35645",256-757-5555,NA
Alabama,Kimberly Police Department,"9256 Stouts Road Kimberly, AL 35091",205-647-5531,NA
Alabama,Kinsey Police Department,"6947 Walden Drive Kinsey, AL 36303",334-793-5409,NA
Alabama,Kinston Police Department,"856 N Main Street Kinston, AL 36453",334-565-3114,NA
Alabama,Lafayette Police Department,"50 Alabama Avenue W Lafayette, AL 36862",334-864-7243,NA
Alabama,Lake View Police Department,"21026 Agnes Drive Lake View, AL 35111",205-477-1289,NA
Alabama,Lamar County Sheriff's Department,"330 1st Pine Vernon, AL 35592",205-695-7470,NA
Alabama,Lanett Police Department,"401 N Lanier Avenue Lanett, AL 36863",334-644-2146,www.lanettpd.org
Alabama,Lauderdale County Sheriff's Office,"200 S Court Street Florence, AL 35630",256-760-5851,NA
Alabama,Lawrence County Sheriff's Department,"242 Parker Road Moulton, AL 35650",256-974-2405,NA
Alabama,Lee County Sheriff's Office,"1900 Frederick Road Opelika, AL 36801",334-749-5651,leecountysheriff.org
Alabama,Leeds Police Department,"1040 Park Drive Leeds, AL 35094",205-699-2581,NA
Alabama,Leesburg Police Department,"215 Industrial Boulevard Leesburg, AL 35983",256-526-8888,NA
Alabama,Leighton Police Department,"8900 Main Street Leighton, AL 35646",256-446-8479,NA
Alabama,Level Plains Police Department,"1708 Joe Bruer Road Daleville, AL 36322",334-347-0422,NA
Alabama,Lexington Police Department,"11060 Highway 101 Lexington, AL 35648",256-229-5564,NA
Alabama,Limestone County Sheriff's Office,"101 W Elm Street Athens, AL 35611",256-232-0111,www.limestonesheriff.com
Alabama,Lincoln Police Department,,205-763-7777,www.lincolnalabama.com
Alabama,Linden Police Department,"211 N Main Street Linden, AL 36748",334-295-8697,NA
Alabama,Lineville Police Department,"60169 Highway 49 Lineville, AL 36266",256-396-2633,NA
Alabama,Lipscomb Police Department,"5512 Avenue H Lipscomb, AL 35020",205-428-6374,NA
Alabama,Littleville Police Department,"1810 George Wallace Highway Littleville, AL 35654",256-332-3474,NA
Alabama,Livingston Police Department,,205-652-9525,www.ci.livingston.al.us
Alabama,Lockhart Police Department,"1 Chippeway Street Lockhart, AL 36455",334-858-3355,NA
Alabama,Louisville Police Department,,334-266-5210,NA
Alabama,Lowndes County Sheriff's Department,,334-548-2151,NA
Alabama,Loxley Police Department,,251-964-6000,NA
Alabama,Luverne Police Department,"64 W 6th Street Luverne, AL 36049",334-335-3334,www.luverne.org
Alabama,Macon County Sheriff's Department,"246 County Road 10 Tuskegee, AL 36083",334-724-0669,NA
Alabama,Madison County Sheriff's Department,"100 Northside Sq Huntsville, AL 35801",256-532-3416,www.co.madison.al.us
Alabama,Madison Police Department,"100 Hughes Road Madison, AL 35758",256-722-5675,NA
Alabama,Maplesville Police Department,,334-366-4211,NA
Alabama,Marengo County Sheriff's Department,"101 Dunn Avenue Linden, AL 36748",334-295-4208,NA
Alabama,Marion County Sheriff's Department,"280 Winchester Drive Hamilton, AL 35570",205-921-7433,www.marionsoal.com
Alabama,Marion Police Department,"123 E Jefferson Street Marion, AL 36756",334-683-6761,NA
Alabama,Marshall County Sheriff's Office,,256-582-2034,www.marshallcosheriff.org
Alabama,McIntosh Police Department,,251-944-2973,NA
Alabama,McKenzie Police Department,,334-374-2311,NA
Alabama,Mentone Police Department,,256-634-0704,NA
Alabama,Midfield Police Department,"725 Bessemer Super Highway Midfield, AL 35228",205-923-7575,NA
Alabama,Midland City Police Department,,334-983-3591,NA
Alabama,Millbrook Police Department,"3821 Grandview Road Millbrook, AL 36054",334-285-5603,NA
Alabama,Millport Police Department,,205-662-4228,NA
Alabama,Millry Police Department,,251-846-2508,NA
Alabama,Mobile Airport Police Department,"8400 Airport Boulevard Mobile, AL 36608",251-639-4688,NA
Alabama,Mobile County Sheriff's Office,"510 S Royal Street Mobile, AL 36603",251-574-8633,www.mobileso.com
Alabama,Mobile Police Department,"2460 Government Boulevard Mobile, AL 36606",251-208-1700,NA
Alabama,Monroe County Sheriff's Department,"65 N Alabama Avenue Monroeville, AL 36460",251-575-2963,NA
Alabama,Monroeville Police Department,"57 S Mt Pleasant Avenue Monroeville, AL 36460",251-575-3249,NA
Alabama,Montevallo Police Department,"545 Main Street Montevallo, AL 35115",205-665-2552,montevallo.intuitwebsites.com
Alabama,Montgomery County Sheriff's Office,"115 S Perry Street Montgomery, AL 36104",334-832-4980,www.montgomerysheriff.com
Alabama,Montgomery Police Department,"320 N Ripley Street Montgomery, AL 36104",334-241-2810,NA
Alabama,Moody Police Department,"2900 Daniel Drive Moody, AL 35004",205-640-5121,NA
Alabama,Morgan County Sheriff's Department,"119 Lee Street NE Decatur, AL 35601",256-351-4822,NA
Alabama,Morris Police Department,,205-647-0596,NA
Alabama,Mosses Police Department,,334-563-9400,NA
Alabama,Moulton Police Department,"14220 Court Street Moulton, AL 35650",256-974-3961,NA
Alabama,Moundville Police Department,,205-371-2218,NA
Alabama,Mount Vernon Police Department,,251-829-6631,NA
Alabama,Mountain Brook Police Department,"100 Tibbett Street Mountain Brook, AL 35213",205-879-0486,NA
Alabama,Mountainboro Police Department,,256-840-1474,NA
Alabama,Muscle Shoals Police Department,,256-383-6746,www.cityofmuscleshoals.com
Alabama,Myrtlewood Police Department,,334-295-8333,NA
Alabama,Napier Field Police Department,"400 Headquarters Street Napier Field, AL 36303",334-983-3027,NA
Alabama,New Brockton Police Department,,334-894-5559,NA
Alabama,New Hope Police Department,,256-759-1719,NA
Alabama,New Site Police Department,"12791 Highway 22 E New Site, AL 36256",256-234-2049,NA
Alabama,Newton Police Department,"9 N College Street Newton, AL 36352",334-299-0004,NA
Alabama,Newville Police Department,,334-889-2222,NA
Alabama,North Courtland Police Department,,334-637-6378,NA
Alabama,Northport Police Department,"3721 26th Avenue Northport, AL 35476",205-339-6600,www.cityofnorthport.org
Alabama,Notasulga Police Department,"76 W Main Street Notasulga, AL 36866",334-257-3444,NA
Alabama,Oakman Police Department,,205-622-3200,NA
Alabama,Odenville Police Department,,205-629-6366,NA
Alabama,Ohatchee Police Department,"301 Main Street Ohatchee, AL 36271",256-892-3232,NA
Alabama,Oneonta Police Department,"111 Jack Fendley Drive Oneonta, AL 35121",205-625-4351,NA
Alabama,Opelika Police Department,"501 S 10th Street Opelika, AL 36803",334-705-5200,www.opelika.org
Alabama,Opp Police Department,"106 N Main Street Opp, AL 36467",334-493-4511,NA
Alabama,Orange Beach Police Department,"4480 Orange Beach Boulevard Orange Beach, AL 36561",251-981-9777,www.obpd.org
Alabama,Owens Cross Roads Police Department,,256-725-4163,NA
Alabama,Oxford Police Department,,256-831-3121,www.oxfordalabama.org
Alabama,Ozark Police Department,,334-445-6321,www.ozarkalabama.us
Alabama,Parrish Police Department,,205-686-9991,NA
Alabama,Pelham Police Department,"32 Philip Davis Street Pelham, AL 35124",205-620-6550,www.pelhamonline.com
Alabama,Pell City Police Department,"1905 1st Avenue N Pell City, AL 35125",205-884-3334,www.epell.net
Alabama,Pennington Police Department,,205-654-2526,NA
Alabama,Perry County Sheriff's Department,,334-683-6534,NA
Alabama,Phenix City Police Department,"1111 Broad Street Phenix City, AL 36867",334-298-0611,www.phenixcityal.us
Alabama,Phil Campbell Police Department,,205-993-5313,NA
Alabama,Pickens County Sheriff's Department,,205-367-2005,NA
Alabama,Pickensville Police Department,"16831 Highway 14 Pickensville, AL 35447",205-373-2068,NA
Alabama,Piedmont Police Department,,256-447-9091,www.piedmontcity.org
Alabama,Pike County Sheriff's Department,"120 Church Street Troy, AL 36081",334-566-4347,NA
Alabama,Pinckard Police Department,,334-983-3517,NA
Alabama,Pine Hill Police Department,,334-963-4351,NA
Alabama,Pisgah Police Department,,256-451-3471,NA
Alabama,Pleasant Grove Police Department,"501 Park Road Pleasant Grove, AL 35127",205-744-7221,NA
Alabama,Poarch Band of Creek Tribal Police Department,"5811 Jack Springs Road Atmore, AL 36502",251-368-9136,pci-nsn.gov
Alabama,Powell Police Department,"110 Broad Street N Powell, AL 35971",256-638-4283,NA
Alabama,Pratville Police Department,"101 W Main Street Prattville, AL 36067",334-361-3671,NA
Alabama,Priceville Police Department,"242 Marco Drive Priceville, AL 35603",256-355-5476,NA
Alabama,Prichard Police Department,"216 E Prichard Ln Prichard, AL 36610",251-452-7897,NA
Alabama,Ragland Police Department,"146 Church Street Ragland, AL 35131",205-472-2151,NA
Alabama,Rainbow City Police Department,"3700 Rainbow Drive Rainbow City, AL 35901",256-442-2513,www.rbcalabama.com
Alabama,Rainsville Police Department,"42 McCurdy Avenue Rainsville, AL 35986",256-638-2157,www.rainsvillealabama.com
Alabama,Ranburne Police Department,,256-568-3483,NA
Alabama,Randolph County Sheriff's Department,,256-357-4545,NA
Alabama,Red Bay Police Department,,256-356-4455,NA
Alabama,Red Level Police Department,,334-469-5351,NA
Alabama,Reform Police Department,,205-375-6363,NA
Alabama,Repton Police Department,,251-248-2370,NA
Alabama,River Falls Police Department,,334-222-3510,NA
Alabama,Riverside Police Department,,205-338-7692,NA
Alabama,Roanoke Police Department,,334-863-2121,NA
Alabama,Robertsdale Police Department,"23335 N Chicago Street Robertsdale, AL 36567",251-947-2222,www.robertsdale.org
Alabama,Rockford Police Department,,256-377-4911,NA
Alabama,Rogersville Police Department,,256-247-8863,NA
Alabama,Russell County Sheriff's Office,"305 Prentiss Drive Phenix City, AL 36868",334-298-6535,www.rcso.org
Alabama,Russellville Police Department,"400 N Jackson Avenue Russellville, AL 35653",256-332-2230,www.russellvillepd.com
Alabama,Samson Police Department,"13 E Main Street Samson, AL 36477",334-898-7118,NA
Alabama,Saraland Police Department,"716 Saraland Blvd S Saraland, AL 36571",251-675-5331,www.saralandpd.org
