,Agency Name,Department,Address,Phone Number,Number of Officers,Population Served,Agency Type
30,IA,Belmond Police Department,"112 2Nd Ave Ne  Belmond, IA 50421",641-444-3357,5.0,"2,560",Local Police
31,IA,Benton County Sheriff's Office,"901 D Avenue  Vinton, IA 52349",319-472-2337,12.0,"25,308",Sheriff
32,IA,Bettendorf Police Department,"1609 State St  Bettendorf, IA 52722",563-344-4030,45.0,"31,275",Local Police
33,IA,Black Hawk County Sheriff's Office,"225 E 6Th St  Waterloo, IA 50703",319-291-2587,98.0,"128,012",Sheriff
34,IA,Bloomfield Police Department,"110 W Franklin  Bloomfield, IA 52537",641-664-2700,5.0,"2,601",Local Police
35,IA,Blue Grass Police Department,"114 N Mississippi  Blue Grass, IA 52726",319-381-2800,2.0,"1,169",Local Police
36,IA,Boone County Sheriff's Office,"1019 W Mamie Eisenhower Ave  Boone, IA 50036",515-433-0524,11.0,"26,224",Sheriff
37,IA,Boone Police Department,"923 8Th St  Boone, IA 50036",515-432-3456,15.0,"12,803",Local Police
38,IA,Bremer County Sheriff's Office,"111 4Th St Ne  Waverly, IA 50677",319-352-5400,11.0,"23,325",Sheriff
39,IA,Britt Police Department,"P.O. Box 303  Britt, IA 50423",641-843-3822,3.0,"2,052",Local Police
40,IA,Buchanan County Sheriff's Office,"210 5Th Ave Ne  Independence, IA 50644",319-334-2568,13.0,"21,093",Sheriff
41,IA,Buena Vista County Sheriff's Office,"P.O. Box 276411 Expansion Blvd. Storm Lake, IA 50588",712-749-2530,9.0,"20,411",Sheriff
42,IA,Buffalo Center Police Department,"P.O. Box 454  Buffalo Center, IA 50424",641-562-2505,1.0,963,Local Police
43,IA,Buffalo Police Department,"P.O. Box 557  Buffalo, IA 52728",319-381-4733,3.0,"1,321",Local Police
44,IA,Burlington Police Department,"424 N 3Rd St  Burlington, IA 52601",319-753-8355,41.0,"26,839",Local Police
45,IA,Butler County Sheriff's Office,"P.O. Box 345428 Sixth St Allison, IA 50602",319-267-2410,10.0,"15,305",Sheriff
46,IA,Calhoun County Sheriff's Office,"P.O. Box 304416 4th St Rockwell City, IA 50579",712-297-7583,6.0,"11,115",Sheriff
47,IA,Calmar Police Department,"P.O. Box 598  Calmar, IA 52132",319-562-3224,2.0,"1,058",Local Police
48,IA,Camanche Police Department,"P.O. Box 77  Camanche, IA 52730",319-259-8575,7.0,"4,215",Local Police
49,IA,Carlisle Police Department,"P.O. Box 430  Carlisle, IA 50047",515-989-4121,5.0,"3,497",Local Police
50,IA,Carroll County Sheriff's Office,"114 E 6Th St  Carroll, IA 51401",712-792-4393,10.0,"21,421",Sheriff
51,IA,Carroll Police Department,"112 E 5Th St  Carroll, IA 51401",712-792-3536,15.0,"10,106",Local Police
52,IA,Carter Lake Police Department,"950 E Locust  Carter Lake, IA 51510",712-347-5920,8.0,"3,248",Local Police
54,IA,Cass County Sheriff's Office,"5 W 7Th St  Atlantic, IA 50022",712-243-2206,7.0,"14,684",Sheriff
55,IA,Cedar County Sheriff's Office,"711 E South St  Tipton, IA 52772",319-886-2121,10.0,"18,187",Sheriff
56,IA,Cedar Falls Police Department,"220 Clay  Cedar Falls, IA 50613",319-273-8618,42.0,"36,145",Local Police
58,IA,Cedar Rapids Police Department,"505 1St St Sw  Cedar Rapids, IA 52404",319-286-5528,197.0,"120,758",Local Police
59,IA,Centerville Police Department,"1125 W Van Buren  Centerville, IA 52544",641-437-7100,10.0,"5,924",Local Police
60,IA,Cerro Gordo County Sheriff's Office,"17262 Lark Ave  Mason City, IA 50401",641-421-3000,20.0,"46,447",Sheriff
61,IA,Chariton Police Department,"1023 Linden Ave  Chariton, IA 50049",641-774-5083,6.0,"4,573",Local Police
62,IA,Charles City Police Department,"105 Milwaukee Mall  Charles City, IA 50616",416-228-3366,14.0,"7,812",Local Police
63,IA,Cherokee County Sheriff's Office,"111 N 5Th St  Cherokee, IA 51012",712-225-6737,6.0,"13,035",Sheriff
64,IA,Cherokee Police Department,"111 N 5Th St  Cherokee, IA 51012",712-225-6728,8.0,"5,369",Local Police
65,IA,Chickasaw County Sheriff's Office,"116 N Chestnut AvePO Box 427 New Hampton, IA 50659",641-394-3121,8.0,"13,095",Sheriff
66,IA,Clarence Police Department,"P.O. Box 418  Clarence, IA 52216",319-452-3434,1.0,"1,008",Local Police
67,IA,Clarinda Police Department,"200 S 15Th St  Clarinda, IA 51632",712-542-2194,9.0,"5,690",Local Police
68,IA,Clarion Police Department,"117 1St St Sw  Clarion, IA 50525",515-532-2515,7.0,"2,968",Local Police
69,IA,Clarke County Sheriff's Office,"220 Town Line RdPO Box 537 Osceola, IA 50213",614-342-2914,6.0,"9,133",Sheriff
70,IA,Clarksville Police Department,"P.O. Box 309  Clarksville, IA 50619",319-278-4941,2.0,"1,441",Local Police
71,IA,Clay County Sheriff's Office,"3121 W 4Th StPO Box 7957 Spencer, IA 51301",712-262-3221,10.0,"17,372",Sheriff
72,IA,Clayton County Sheriff's Office,"P.O. Box 1022680 230th Street St. Olaf, IA 52072",319-245-2422,12.0,"18,678",Sheriff
73,IA,Clear Lake-Ventura Police Department,"P.O. Box 291  Clear Lake, IA 50428",641-357-2186,15.0,"8,161",Local Police
74,IA,Clinton County Sheriff's Office,"241 7Th Ave NPO Box 2957 Clinton, IA 52733",319-242-9211,24.0,"50,149",Sheriff
75,IA,Clinton Police Department,"113 6Th Ave S  Clinton, IA 52732",319-243-1455,45.0,"27,772",Local Police
76,IA,Clive Police Department,"8505 Harbach Blvd  Clive, IA 50325",515-278-1312,24.0,"12,855",Local Police
79,IA,Coon Rapids Police Department,"123 3Rd Ave  Coon Rapids, IA 50058",712-999-5244,1.0,"1,305",Local Police
80,IA,Coralville Police Department,"P.O. Box 5911  Coralville, IA 52241",319-354-1100,32.0,"15,123",Local Police
81,IA,Correctionville Police Department,"312 Driftwood  Correctionville, IA 51016",712-372-4791,1.0,851,Local Police
82,IA,Corydon Police Department,"205 S East St  Corydon, IA 50060",641-872-1826,2.0,"1,591",Local Police
83,IA,Council Bluffs Police Department,"Ste 111227 S. 6th St. Council Bluffs, IA 51501",712-328-4701,105.0,"58,268",Local Police
84,IA,Crawford County Sheriff's Office,"1202 Broadway  Denison, IA 51442",712-263-2146,11.0,"16,942",Sheriff
85,IA,Cresco Police Department,"124 S. Park Place  Cresco, IA 52136",319-547-2457,7.0,"3,905",Local Police
86,IA,Creston Police Department,"302 N Pine  Creston, IA 50801",641-782-8402,10.0,"7,597",Local Police
87,IA,Dallas Center Police Department,"P.O. Box 335  Dallas Center, IA 50063",515-992-3725,2.0,"1,595",Local Police
88,IA,Dallas County Sheriff's Office,"P.O.Box 187201 North Nile Kinnick Drive Adel, IA 50003",515-993-4771,23.0,"40,750",Sheriff
89,IA,Davenport Police Department,"420 Harrison St416 Harrison St Davenport, IA 52801",319-326-7979,166.0,"98,359",Local Police
90,IA,Davis County Sheriff's Office,"110 W Franklin St  Bloomfield, IA 52537",515-664-2385,5.0,"8,541",Sheriff
91,IA,Dayton Police Department,"202 1St Ave Sw  Dayton, IA 50530",515-547-2624,1.0,884,Local Police
92,IA,Decatur County Sheriff's Office,"207 N Main St  Leon, IA 50144",641-446-4111,6.0,"8,689",Sheriff
93,IA,Decorah Police Department,"P.O. Box 1  Decorah, IA 52101",319-382-3667,12.0,"8,172",Local Police
94,IA,Delaware County Sheriff's Office,"P.O. Box 116  Manchester, IA 52057",319-927-3135,10.0,"18,404",Sheriff
95,IA,Delhi Police Department,"P.O. BOX 255  Delhi, IA 52223",319-922-2588,1.0,458,Local Police
96,IA,Denison Police Department,"P.O. Box 668  Denison, IA 51442",712-263-3195,13.0,"7,339",Local Police
97,IA,Denver Police Department,"P.O. Box 489  Denver, IA 50622",319-984-5642,3.0,"1,627",Local Police
98,IA,Des Moines County Sheriff's Office,"512 N Main StPO Box 986 Burlington, IA 52601",319-753-8212,22.0,"42,351",Sheriff
99,IA,Des Moines Police Department,"25 E 1St St  Des Moines, IA 50309",515-237-1585,385.0,"198,682",Local Police
100,IA,Dewitt Police Department,"606 9TH ST  Dewitt, IA 52742",319-659-3145,10.0,"5,049",Local Police
101,IA,Dickinson County Sheriff's Office,"P.O. Box 214Courthouse Spirit Lake, IA 51360",712-336-2793,9.0,"16,424",Sheriff
103,IA,Dubuque County Sheriff's Office,"P.O. Box 1004770 Iowa St Dubuque, IA 52004",319-589-4400,70.0,"89,143",Sheriff
104,IA,Dubuque Police Department,"770 Iowa St  Dubuque, IA 52004",319-589-4410,100.0,"57,686",Local Police
105,IA,Dunkerton Police Department,"P.O. Box 100  Dunkerton, IA 50626",319-822-4247,1.0,749,Local Police
107,IA,Durant Police Department,"P.O. Box 1063  Durant, IA 52747",319-785-6049,3.0,"1,677",Local Police
108,IA,Dyersville Police Department,"338 1St Ave E  Dyersville, IA 52040",319-875-7366,6.0,"4,035",Local Police
109,IA,Dysart Police Department,"P.O. Box 651  Dysart, IA 52224",319-476-4010,20.0,"1,303",Local Police
110,IA,Eagle Grove Police Department,"210 E Broadway  Eagle Grove, IA 50533",515-448-4686,7.0,"3,712",Local Police
111,IA,Earlham Police Department,"140 S Chestnut St  Earlham, IA 50072",515-758-2281,2.0,"1,298",Local Police
113,IA,Eldora Police Department,"1442 Washington  Eldora, IA 50627",515-939-3333,5.0,"3,035",Local Police
114,IA,Eldridge Police Department,"305 N 3Rd St  Eldridge, IA 52748",319-285-3916,7.0,"4,159",Local Police
115,IA,Elkader Police Department,"207 North Main StreetP.O. Box 427 Elkader, IA 52043",319-245-2071,2.0,"1,465",Local Police
117,IA,Emmet County Sheriff's Office,"114 N 6Th St  Estherville, IA 51334",712-362-2639,8.0,"11,027",Sheriff
118,IA,Emmetsburg Police Department,"1907 11Th St  Emmetsburg, IA 50536",712-852-2424,6.0,"3,958",Local Police
119,IA,Epworth Police Department,"P.O. Box 266212 NORTH CENTER AVE Epworth, IA 52045",319-876-3050,1.0,"1,428",Local Police
121,IA,Estherville Police Department,"114 N 6Th St  Estherville, IA 51334",712-362-3515,12.0,"6,656",Local Police
122,IA,Evansdale Police Department,"123 N Evans Rd  Evansdale, IA 50707",319-232-6682,7.0,"4,526",Local Police
123,IA,Exira Police Department,"P.O. Box 187  Exira, IA 50076",712-268-2187,2.0,810,Local Police
125,IA,Fairfield Police Department,"1200 W Grimes Ave  Fairfield, IA 52556",641-472-4146,12.0,"9,509",Local Police
127,IA,Farnhamville Police Department,"P.O. Box 97315 Garfield Ave Farnhamville, IA 50538",515-544-3335,1.0,430,Local Police
128,IA,Fayette County Sheriff's Office,"220 N Industrial PkwyPO Box 518 West Union, IA 52175",319-422-6067,10.0,"22,008",Sheriff
129,IA,Fayette Police Department,"P.O. Box 28  Fayette, IA 52142",319-425-3500,2.0,"1,300",Local Police
130,IA,Floyd County Sheriff's Office,"101 S Main StSte 501 Charles City, IA 50616",641-228-1821,11.0,"16,900",Sheriff
131,IA,Fonda Police Department,"104 W 2nd St Box 367  Fonda, IA 50540",712-288-4466,1.0,648,Local Police
132,IA,Forest City Police Department,"P.O. Box 373  Forest City, IA 50436",641-585-2113,9.0,"4,362",Local Police
133,IA,Fort Dodge Police Department,"702 1St Ave S  Fort Dodge, IA 50501",515-573-1426,37.0,"25,136",Local Police
135,IA,Franklin County Sheriff's Office,"12 1St Ave NwPO Box 57 Hampton, IA 50441",515-456-2731,8.0,"10,704",Sheriff
136,IA,Fremont County Sheriff's Office,"P.O. Box 359701 Cass St Sidney, IA 51652",712-374-2673,7.0,"8,010",Sheriff
137,IA,Garnavillo Police Department,"P.O. Box 14  Garnavillo, IA 52049",319-964-2331,1.0,754,Local Police
138,IA,Garner Police Department,"135 W 5Th St  Garner, IA 50438",641-923-3773,5.0,"2,922",Local Police
140,IA,Glenwood Police Department,"209 Sharp St  Glenwood, IA 51534",712-527-9920,9.0,"5,358",Local Police
141,IA,Gowrie Police Department,"P.O. Box 168  Gowrie, IA 50543",515-352-3999,1.0,"1,038",Local Police
143,IA,Greene County Sheriff's Office,"204 S Chestnut St  Jefferson, IA 50129",515-386-2136,7.0,"10,366",Sheriff
144,IA,Greene Police Department,"P.O. Box 471  Greene, IA 50636",641-823-4242,1.0,"1,099",Local Police
145,IA,Greenfield Police Department,"211 1St St  Greenfield, IA 50849",515-743-2323,3.0,"2,129",Local Police
146,IA,Grinnell Police Department,"611 4Th Ave  Grinnell, IA 50112",641-236-2639,15.0,"9,105",Local Police
147,IA,Grundy Center Police Department,"703 F Ave Ste 2  Grundy Center, IA 50638",319-824-6118,4.0,"2,596",Local Police
148,IA,Grundy County Sheriff's Office,"705 8Th St  Grundy Center, IA 50638",319-824-6933,12.0,"12,369",Sheriff
150,IA,Guthrie County Sheriff's Office,"200 N 5Th St  Guthrie Center, IA 50115",641-747-2214,5.0,"11,353",Sheriff
151,IA,Guttenberg Police Department,"P.O. Box 580  Guttenberg, IA 52052",319-252-3333,4.0,"1,987",Local Police
152,IA,Hamburg Police Department,"P.O. Box 106  Hamburg, IA 51640",712-382-1313,1.0,"1,240",Local Police
153,IA,Hamilton County Sheriff's Office,"P.O. Box 444  Webster City, IA 50595",515-832-9500,9.0,"16,438",Sheriff
154,IA,Hampton Police Department,"17 2Nd St Nw  Hampton, IA 50441",641-456-2529,7.0,"4,218",Local Police
155,IA,Hancock County Sheriff's Office,"875 State StPO Box 70 Garner, IA 50438",641-923-2621,8.0,"12,100",Sheriff
156,IA,Hardin County Sheriff's Office,"1116 14Th Ave  Eldora, IA 50627",641-939-8189,10.0,"18,812",Sheriff
157,IA,Harlan Police Department,"P.O. Box 650  Harlan, IA 51537",712-755-5151,8.0,"5,282",Local Police
158,IA,Harrison County Sheriff's Office,"111 S 1St Ave  Logan, IA 51546",712-644-2244,8.0,"15,666",Sheriff
159,IA,Hartley Police Department,"11 S Central Ave  Hartley, IA 51346",712-728-2240,2.0,"1,733",Local Police
160,IA,Hawarden Police Department,"1150 Central Ave.  Hawarden, IA 51023",712-551-2461,4.0,"2,478",Local Police
161,IA,Henry County Sheriff's Office,"106 E Clay StPO Box 216 Mount Pleasant, IA 52641",319-385-2712,12.0,"20,336",Sheriff
162,IA,Hiawatha Police Department,"101 Emmons St.  Hiawatha, IA 52233",319-393-1212,12.0,"6,480",Local Police
164,IA,Howard County Sheriff's Office,"124 S Park Pl  Cresco, IA 52136",319-547-3535,7.0,"9,932",Sheriff
165,IA,Hudson Police Department,"P.O. Box 536  Hudson, IA 50643",319-988-3210,4.0,"2,117",Local Police
166,IA,Humboldt County Sheriff's Office,"430 Sumner Ave  Humboldt, IA 50548",515-332-2471,8.0,"10,381",Sheriff
167,IA,Humboldt Police Department,"430 Sumner Ave  Humboldt, IA 50548",515-332-2600,7.0,"4,452",Local Police
168,IA,Huxley Police Department,"515 N Main  Huxley, IA 50124",515-597-2002,6.0,"2,316",Local Police
169,IA,Ida County Sheriff's Office,"401 Moorehead St  Ida Grove, IA 51445",711-364-3146,9.0,"7,837",Sheriff
170,IA,Independence Police Department,"210 5Th Ave Ne  Independence, IA 50644",319-334-2520,11.0,"6,014",Local Police
171,IA,Indianola Police Department,"P.O. Box 299  Indianola, IA 50125",515-961-9400,19.0,"12,998",Local Police
172,IA,Iowa City Police Department,"410 E Washington  Iowa City, IA 52240",319-356-5271,69.0,"62,220",Local Police
173,IA,Iowa County Sheriff's Office,"960 Franklyn Ave  Marengo, IA 52301",319-642-7307,11.0,"15,671",Sheriff
178,IA,Iowa Falls Police Department,"P.O. Box 698  Iowa Falls, IA 50126",641-648-6464,11.0,"5,193",Local Police
180,IA,Jackson County Sheriff's Office,"104 S Niagara St  Maquoketa, IA 52060",319-652-3312,9.0,"20,296",Sheriff
181,IA,Janesville Police Department,"P.O. BOX 175  Janesville, IA 50647",319-987-2905,2.0,829,Local Police
182,IA,Jasper County Sheriff's Office,"2300 Law Center DrPO Box 517 Newton, IA 50208",641-792-5912,14.0,"37,213",Sheriff
183,IA,Jefferson County Sheriff's Office,"1200 W Grimes Ave  Fairfield, IA 52556",641-472-4146,10.0,"16,181",Sheriff
185,IA,Jesup Police Department,"P.O. Box 592  Jesup, IA 50648",319-827-1919,3.0,"2,212",Local Police
187,IA,Johnson County Sheriff's Office,"511 S Capitol StPO Box 2540 Iowa City, IA 52240",319-356-6020,63.0,"111,006",Sheriff
188,IA,Johnston Police Department,"P.O. Box 410  Johnston, IA 50131",515-278-2345,21.0,"8,649",Local Police
190,IA,Kanawha Police Department,"121 N Main St  Kanawha, IA 50447",641-762-3272,1.0,739,Local Police
191,IA,Kellogg Police Department,"P.O. Box 45  Kellogg, IA 50135",641-526-8264,1.0,606,Local Police
192,IA,Keokuk County Sheriff's Office,"204 S Stone St  Sigourney, IA 52591",515-622-2727,4.0,"11,400",Sheriff
193,IA,Keokuk Police Department,"P.O. Box 1147  Keokuk, IA 52632",319-524-2741,22.0,"11,427",Local Police
194,IA,Keota Police Department,"P.O. Box 77  Keota, IA 52248",515-636-3123,1.0,"1,025",Local Police
195,IA,Kingsley Police Department,"221 Main  Kingsley, IA 51028",712-378-2584,2.0,"1,245",Local Police
196,IA,Knoxville Police Department,"305 S 3Rd  Knoxville, IA 50138",641-828-0554,12.0,"7,731",Local Police
197,IA,Kossuth County Sheriff's Office,"121 W State St  Algona, IA 50511",515-295-3514,9.0,"17,163",Sheriff
199,IA,Lake City Police Department,"105 N Center  Lake City, IA 51449",712-464-3111,4.0,"1,787",Local Police
200,IA,Lake Mills Police Department,"Po, Box 212  Lake Mills, IA 50450",641-592-2188,5.0,"2,140",Local Police
201,IA,Lake Park Police Department,"P.O. Box 536  Lake Park, IA 51347",712-832-3527,2.0,"1,023",Local Police
202,IA,Lake View Police Department,"P.O. Box 18  Lake View, IA 51450",712-657-2513,4.0,"1,278",Local Police
203,IA,Lamoni Police Department,"135 S Linden St  Lamoni, IA 50140",515-784-3700,3.0,"2,444",Local Police
204,IA,Lansing Police Department,"P.O. BOX 470  Lansing, IA 52151",319-538-4620,2.0,"1,012",Local Police
205,IA,Laurens Police Department,"272 N 3Rd St  Laurens, IA 50554",712-841-4414,2.0,"1,476",Local Police
208,IA,Lee County Sheriff's Office,"2530 255Th St  Montrose, IA 52639",319-372-1152,15.0,"38,052",Sheriff
209,IA,Lenox Police Department,"200 S Main  Lenox, IA 50851",641-333-2929,3.0,"1,401",Local Police
210,IA,Leon Police Department,"P.O. Box 210  Leon, IA 50144",641-446-7733,3.0,"1,983",Local Police
211,IA,Linn County Sheriff's Office,"310 2Nd Ave SwPO Box 669 Cedar Rapids, IA 52404",319-892-6100,104.0,"191,701",Sheriff
212,IA,Lisbon Police Department,"115 N Washington  Lisbon, IA 52253",319-455-2452,2.0,"1,898",Local Police
213,IA,Logan Police Department,"P.O. Box 127  Logan, IA 51546",712-644-2424,2.0,"1,545",Local Police
214,IA,Louisa County Sheriff's Office,"503 Franklin StPO Box 254 Wapello, IA 52653",319-523-4371,10.0,"12,183",Sheriff
215,IA,Lucas County Sheriff's Office,"1023 Linden AvePO Box 816 Chariton, IA 50049",515-774-5083,5.0,"9,422",Sheriff
216,IA,Lyon County Sheriff's Office,"402 S Boone St  Rock Rapids, IA 51246",712-472-2521,9.0,"11,763",Sheriff
217,IA,Madison County Sheriff's Office,"P.O. Box 5171012 N John Wayne Dr Winterset, IA 50273",515-462-3575,7.0,"14,019",Sheriff
219,IA,Mahaska County Sheriff's Office,"214 High Ave  Oskaloosa, IA 52577",641-673-4322,9.0,"22,335",Sheriff
220,IA,Manchester Police Department,"208 E Main St  Manchester, IA 52057",319-927-3355,9.0,"5,257",Local Police
221,IA,Manilla Police Department,"P.O. Box 398443 Main St Manilla, IA 51454",712-654-2788,0.0,839,Local Police
222,IA,Manly Police Department,"P.O. Box 516  Manly, IA 50456",515-454-2114,3.0,"1,342",Local Police
223,IA,Manning Police Department,"717 3Rd St  Manning, IA 51455",712-653-2200,3.0,"1,490",Local Police
224,IA,Manson Police Department,"1015 13Th St  Manson, IA 50563",712-469-2356,4.0,"1,893",Local Police
225,IA,Mapleton Police Department,"513 Main St  Mapleton, IA 51034",712-882-1351,2.0,"1,416",Local Police
226,IA,Maquoketa Police Department,"102 S Niagara  Maquoketa, IA 52060",319-652-2468,11.0,"6,112",Local Police
229,IA,Marengo Police Department,"P.O. Box 245  Marengo, IA 52301",319-642-3232,5.0,"2,535",Local Police
230,IA,Marion County Sheriff's Office,"211 N. Godfrey Lane  Knoxville, IA 50138",641-828-2220,12.0,"32,052",Sheriff
231,IA,Marion Police Department,"3911 Katz Dr  Marion, IA 52302",319-377-4006,41.0,"26,294",Local Police
232,IA,Marshall County Sheriff's Office,"2369 Jessup Ave  Marshalltown, IA 50158",641-754-6380,19.0,"39,311",Sheriff
233,IA,Marshalltown Police Department,"22 N Centerr  Marshalltown, IA 50158",641-754-5771,43.0,"26,009",Local Police
234,IA,Mason City Police Department,"78 S Georgia  Mason City, IA 50401",641-421-3636,46.0,"29,172",Local Police
235,IA,Mechanicsville Police Department,"P.O. Box 339  Mechanicsville, IA 52306",319-432-7756,1.0,"1,173",Local Police
236,IA,Melcher-Dallas Police Department,"P.O. Box H  Melcher-Dallas, IA 50062",515-947-6501,1.0,"1,298",Local Police
238,IA,Mills County Sheriff's Office,"23 N Vine St  Glenwood, IA 51534",712-527-4337,10.0,"14,547",Sheriff
239,IA,Missouri Valley Police Department,"223 E Erie  Missouri Valley, IA 51555",712-642-2736,1.0,"2,992",Local Police
240,IA,Mitchell County Sheriff's Office,"211 S 6Th St  Osage, IA 50461",641-732-4740,6.0,"10,874",Sheriff
241,IA,Mitchellville Police Department,"110 2Nd St Ne  Mitchellville, IA 50169",515-967-2935,3.0,"1,715",Local Police
242,IA,Monona County Sheriff's Office,"909 7Th St  Onawa, IA 51040",712-423-9539,7.0,"10,020",Sheriff
244,IA,Monroe County Sheriff's Office,"103 2Nd Ave W  Albia, IA 52531",641-932-2727,5.0,"8,016",Sheriff
245,IA,Monroe Police Department,"P.O. Box 370  Monroe, IA 50170",515-259-2311,3.0,"1,808",Local Police
246,IA,Montgomery County Sheriff's Office,"106 W Coolbaugh St  Red Oak, IA 51566",712-623-5107,8.0,"11,771",Sheriff
247,IA,Monticello Police Department,"202 E 1st Street  Monticello, IA 52310",319-465-3526,6.0,"3,607",Local Police
248,IA,Montrose Police Department,"P.O. Box 57102 S 2nd St Montrose, IA 52639",319-463-7411,1.0,957,Local Police
250,IA,Mount Pleasant Police Department,"300 W Monroe  Mt Pleasant, IA 52641",319-385-1450,14.0,"8,751",Local Police
254,IA,Muscatine Police Department,"312 E 5Th St  Muscatine, IA 52761",319-263-9922,39.0,"22,697",Local Police
255,IA,Nashua Police Department,"P.O. Box 38  Nashua, IA 50658",515-435-2068,4.0,"1,618",Local Police
256,IA,Nevada Police Department,"P.O. Box 530  Nevada, IA 50201",515-382-4593,9.0,"6,658",Local Police
257,IA,New Hampton Police Department,"22 S Locust  New Hampton, IA 50659",641-394-3241,7.0,"3,692",Local Police
258,IA,New London Police Department,"507 E Main St  New London, IA 52645",319-367-7700,3.0,"1,937",Local Police
259,IA,New Sharon Police Department,"P.O. Box 507  New Sharon, IA 50207",641-637-4124,1.0,"1,301",Local Police
260,IA,Newell Police Department,"P.O. Box 57  Newell, IA 50568",712-272-4410,1.0,887,Local Police
261,IA,Newton Police Department,"P.O. Box 1223  Newton, IA 50208",641-791-0850,25.0,"15,579",Local Police
262,IA,Nora Springs Police Department,"P.O. Box 336  Nora Springs, IA 50458",515-749-5315,3.0,"1,532",Local Police
264,IA,Northwood Police Department,"852 Central Ave  Northwood, IA 50459",641-324-1500,4.0,"2,050",Local Police
265,IA,Norwalk Police Department,"1100 Chatham Ave  Norwalk, IA 50211",515-981-0666,13.0,"6,884",Local Police
266,IA,O'Brien County Sheriff's Office,"P.O. Box 260240 1st St, NE Primghar, IA 51245",712-757-3415,11.0,"15,102",Sheriff
267,IA,Odebolt Police Department,"P.O. Box 433  Odebolt, IA 51458",712-668-2221,1.0,"1,153",Local Police
268,IA,Oelwein Police Department,"20 2Nd Ave Sw Ste 200  Oelwein, IA 50662",319-283-4311,11.0,"6,692",Local Police
269,IA,Ogden Police Department,"P.O. Box 693  Ogden, IA 50212",515-275-4562,3.0,"2,023",Local Police
270,IA,Okoboji Police Department,"P.O. Box 254  Okoboji, IA 51355",712-332-7845,4.0,820,Local Police
272,IA,Orange City Police Department,"P.O. Box 406  Orange City, IA 51041",712-737-4251,7.0,"5,582",Local Police
273,IA,Osage Police Department,"432 Main St  Osage, IA 50461",641-732-3777,6.0,"3,451",Local Police
